Trait1,Trait2,Trait1_code,Trait2_code,corr
parkinsons disease,Arm lean mass (right),HC206,INI23254,0.119582277316024
Parkinson's disease,Mean platelet (thrombocyte) volume,FH1262,INI30100,0.119553808122609
Parkinson's disease,Median z-statistic (in group-defined amygdala activation mask) for shapes-faces contrast,FH1262,INI25054,0.119375561859184
Parkinson's disease,migraleve tablet,FH1262,MED1141168554,0.119130760503348
parkinsons disease,pelvic inflammatory disease/ pid,HC206,HC154,0.11908306876843
Parkinson's disease,betnovate cream,FH1262,MED1140882694,0.119079706799879
parkinsons disease,solpadeine capsule,HC206,MED1141168650,0.119025646274901
Parkinson's disease,nasacort 55micrograms aqueous nasal spray,FH1262,MED1141146508,0.118616237209104
parkinsons disease,nasobec aqueous 50micrograms nasal spray,HC206,MED1141145638,0.118578236088619
Parkinson's disease,Weighted-mean L2 in tract middle cerebellar peduncle,FH1262,INI25612,0.118510572477731
Parkinson's disease,Femur upper neck BMD (bone mineral density) (right),FH1262,INI23216,0.118150576024695
parkinsons disease,xatral 2.5mg tablet,HC206,MED1140864472,0.118133795165968
Parkinson's disease,Mean FA in fornix cres+stria terminalis on FA skeleton (right),FH1262,INI25094,0.118127458351915
Parkinson's disease,respiratory failure,FH1262,HC423,0.118082469906417
Parkinson's disease,istin 5mg tablet,FH1262,MED1140861202,0.118036878987437
Parkinson's disease,renal failure requiring dialysis,FH1262,HC46,0.117763189866377
Parkinson's disease,Leg pain when walking uphill or hurrying,FH1262,BIN5474,0.117729702811794
parkinsons disease,beclomist 50micrograms nasal spray,HC206,MED1141167708,0.117722681163638
Parkinson's disease,indapamide,FH1262,MED1140866078,0.117706047253495
Parkinson's disease,buscopan 10mg tablet,FH1262,MED1140865396,0.117681234557172
Parkinson's disease,Median T2star in accumbens (left),FH1262,INI25038,0.117670068422255
parkinsons disease,estriol product,HC206,MED1141181594,0.11752890436559
Parkinson's disease,Weighted-mean L3 in tract parahippocampal part of cingulum (right),FH1262,INI25630,0.11720832268708
parkinsons disease,Mean ISOVF in corticospinal tract on FA skeleton (left),HC206,INI25447,0.116963725070792
parkinsons disease,6mm cylindrical power (right),HC206,INI5117,0.116898981120386
Parkinson's disease,Weighted-mean L2 in tract parahippocampal part of cingulum (right),FH1262,INI25603,0.116833195882777
Parkinson's disease,dicloflex 25mg e/c tablet,FH1262,MED1140921828,0.116655924052533
Parkinson's disease,canesten 1% cream,FH1262,MED1140878530,0.116630585573041
parkinsons disease,Number of treatments/medications taken,HC206,INI137,0.116511160163983
Parkinson's disease,pernicious anaemia,FH1262,HC169,0.116310098227083
Parkinson's disease,zoladex 3.6mg implant,FH1262,MED1140870196,0.116269694240685
Parkinson's disease,peptac liquid,FH1262,MED1141168752,0.115761242942255
Parkinson's disease,brinzolamide,FH1262,MED1141176284,0.115700958014896
parkinsons disease,Fluid intelligence score,HC206,INI20016,0.115675002498056
Parkinson's disease,non-infective hepatitis,FH1262,HC210,0.115441421658637
Parkinson's disease,amisulpride,FH1262,MED1141153490,0.115210460099207
Parkinson's disease,hepatitis c,FH1262,HC249,0.115076262942153
parkinsons disease,Volume of grey matter in Pallidum (right),HC206,INI25885,0.114983071630527
parkinsons disease,salivary gland cancer,HC206,cancer1005,0.114909199249517
parkinsons disease,calcium+vitamin d 500units tablet,HC206,MED1140852948,0.114862426735955
Parkinson's disease,Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left),FH1262,INI25475,0.114841662906685
Parkinson's disease,P duration,FH1262,INI12338,0.114820091661103
Parkinson's disease,malaria,FH1262,HC47,0.11465879099117
Parkinson's disease,Mean FA in uncinate fasciculus on FA skeleton (left),FH1262,INI25101,0.114529173199022
parkinsons disease,allopurinol,HC206,MED1140875408,0.114528682416262
parkinsons disease,Weighted-mean L1 in tract uncinate fasciculus (left),HC206,INI25594,0.114497271902058
parkinsons disease,almotriptan,HC206,MED1141172728,0.114269802971495
parkinsons disease,Weighted-mean ISOVF in tract anterior thalamic radiation (right),HC206,INI25707,0.11411987654498
Parkinson's disease,Birth weight of first child,FH1262,INI2744,0.114017519464092
Parkinson's disease,nebivolol,FH1262,MED1141164276,0.113576921411107
parkinsons disease,Median BOLD effect (in group-defined mask) for shapes activation,HC206,INI25040,0.113522815822687
parkinsons disease,Weighted-mean L2 in tract uncinate fasciculus (right),HC206,INI25622,0.113484862518971
parkinsons disease,Median BOLD effect (in group-defined mask) for faces activation,HC206,INI25044,0.113455466470907
Parkinson's disease,micardis 20mg tablet,FH1262,MED1141172492,0.113418195450296
Parkinson's disease,movelat gel,FH1262,MED1140875632,0.113214741077523
parkinsons disease,Weighted-mean MO in tract uncinate fasciculus (right),HC206,INI25568,0.1132066946302
parkinsons disease,Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),HC206,INI25355,0.113135602067996
Parkinson's disease,"Mean tfMRI head motion, averaged across space and time points",FH1262,INI25742,0.11311189954859
parkinsons disease,Gynoid lean mass,HC206,INI23263,0.112997240773561
Parkinson's disease,Mean ISOVF in superior corona radiata on FA skeleton (right),FH1262,INI25464,0.112983072548843
Parkinson's disease,chlorpromazine,FH1262,MED1140879658,0.112923504828964
parkinsons disease,paracetamol + codeine,HC206,MED1140882394,0.112904544354264
parkinsons disease,perindopril,HC206,MED1140888560,0.112897244046089
parkinsons disease,cholelithiasis/gall stones,HC206,HC188,0.112842748689768
Parkinson's disease,Irritability,FH1262,BIN1940,0.112810981580481
Parkinson's disease,Weighted-mean L2 in tract superior longitudinal fasciculus (right),FH1262,INI25618,0.112770265905446
Parkinson's disease,Facial pains for 3+ months,FH1262,BIN4067,0.112693162598729
Parkinson's disease,Weighted-mean MD in tract posterior thalamic radiation (right),FH1262,INI25535,0.112477994533426
Parkinson's disease,Mean ISOVF in superior cerebellar peduncle on FA skeleton (left),FH1262,INI25453,0.112381683734646
Parkinson's disease,fracture foot,FH1262,HC76,0.112146437835132
Parkinson's disease,"Loneliness, isolation",FH1262,BIN2020,0.112029888604114
parkinsons disease,budesonide product,HC206,MED1141157418,0.111961220634655
Parkinson's disease,allergy or anaphylactic reaction to food,FH1262,HC234,0.111641977318284
Parkinson's disease,dosulepin,FH1262,MED1140909806,0.111532048471392
Parkinson's disease,retinal artery/vein occlusion,FH1262,HC356,0.11149499715345
Parkinson's disease,tonsiltis,FH1262,HC331,0.111168264589578
parkinsons disease,Mean FA in posterior limb of internal capsule on FA skeleton (right),HC206,INI25074,0.111052996564997
Parkinson's disease,flax oil tablet,FH1262,MED1140911730,0.111042048811085
Parkinson's disease,Chest pain or discomfort walking normally,FH1262,BIN3606,0.110950532615787
parkinsons disease,Legs lean mass,HC206,INI23275,0.110559735463704
Parkinson's disease,coracten sr 10mg m/r capsule,FH1262,MED1140861120,0.110411972447231
parkinsons disease,Median z-statistic (in group-defined mask) for shapes activation,HC206,INI25042,0.110394465655683
Parkinson's disease,colon cancer/sigmoid cancer,FH1262,cancer1022,0.110247005258449
parkinsons disease,Median T2star in pallidum (left),HC206,INI25032,0.110189669722806
Parkinson's disease,spina bifida,FH1262,HC87,0.110100741541564
parkinsons disease,Weighted-mean FA in tract parahippocampal part of cingulum (left),HC206,INI25494,0.110007934361576
Parkinson's disease,Volume of ventricular cerebrospinal fluid (normalised for head size),FH1262,INI25003,0.109877454957205
parkinsons disease,90th percentile of z-statistic (in group-defined mask) for shapes activation,HC206,INI25762,0.109821811828039
Parkinson's disease,glibenclamide,FH1262,MED1140874718,0.109760450072341
Parkinson's disease,Index of best refractometry result (left),FH1262,INI5276,0.109602249319162
Parkinson's disease,Mean ISOVF in corticospinal tract on FA skeleton (right),FH1262,INI25446,0.109508504000677
Parkinson's disease,viagra 50mg tablet,FH1262,MED1141168946,0.109414385472433
Parkinson's disease,micronor tablet,FH1262,MED1140869276,0.109368076154318
parkinsons disease,becloforte 250micrograms inhaler,HC206,MED1140862380,0.109355091535792
parkinsons disease,plaquenil 200mg tablet,HC206,MED1140875392,0.109320088550747
Parkinson's disease,Weighted-mean L3 in tract superior longitudinal fasciculus (right),FH1262,INI25645,0.109319493305848
parkinsons disease,Volume of amygdala (left),HC206,INI25021,0.109054044760621
parkinsons disease,cholecystitis,HC206,HC225,0.109029461553215
Parkinson's disease,disorder or pituitary gland,FH1262,HC122,0.108921096790033
parkinsons disease,rennie duo oral suspension,HC206,MED1141166086,0.108911913494372
Parkinson's disease,Volume of putamen (left),FH1262,INI25015,0.108786739749737
parkinsons disease,Volume of grey matter in I-IV Cerebellum (right),HC206,INI25894,0.108545322701614
Parkinson's disease,Mean FA in external capsule on FA skeleton (left),FH1262,INI25089,0.108537726028976
Parkinson's disease,spine arthritis/spondylitis,FH1262,HC158,0.108520292467875
parkinsons disease,glyceryl trinitrate product,HC206,MED1141157252,0.108392453950644
Parkinson's disease,Weighted-mean MD in tract parahippocampal part of cingulum (right),FH1262,INI25522,0.108224639447157
parkinsons disease,celecoxib,HC206,MED1141176662,0.10818429615235
Parkinson's disease,methotrexate,FH1262,MED1140869848,0.108048328402521
parkinsons disease,Total lean mass,HC206,INI23280,0.108018882772791
parkinsons disease,psoriasis,HC206,HC38,0.107998167794368
Parkinson's disease,Weighted-mean ISOVF in tract forceps minor,FH1262,INI25715,0.107975447669668
Parkinson's disease,Age lung cancer (not mesothelioma) diagnosed by doctor,FH1262,INI22160,0.107643455282602
parkinsons disease,Ever highly irritable/argumentative for 2 days,HC206,BIN4653,0.10759331235867
parkinsons disease,Volume of grey matter in Ventral Striatum (left),HC206,INI25890,0.107565842959696
Parkinson's disease,trimethoprim,FH1262,MED1140873966,0.10754003731582
Parkinson's disease,vitiligo,FH1262,HC289,0.10738840707625
Parkinson's disease,Weighted-mean OD in tract superior thalamic radiation (right),FH1262,INI25701,0.107354419992402
parkinsons disease,Total fat-free mass,HC206,INI23279,0.106608797983497
parkinsons disease,beclomethasone dipropionate+salbutamol,HC206,MED1140881938,0.10658476089507
Parkinson's disease,Volume of grey matter in X Cerebellum (left),FH1262,INI25918,0.106416504302743
parkinsons disease,Weighted-mean OD in tract inferior fronto-occipital fasciculus (left),HC206,INI25689,0.106143617585718
Parkinson's disease,trandolapril,FH1262,MED1140860904,0.106109070720412
parkinsons disease,kapake tablet,HC206,MED1140864070,0.105968750505895
Parkinson's disease,pericarditis,FH1262,HC242,0.105941362033579
parkinsons disease,Weighted-mean L1 in tract parahippocampal part of cingulum (left),HC206,INI25575,0.105862995701291
parkinsons disease,lichen sclerosis,HC206,HC13,0.105706249684769
parkinsons disease,Volume of grey matter in Vermis X Cerebellum,HC206,INI25919,0.105700231477939
parkinsons disease,merbentyl 10mg tablet,HC206,MED1140865382,0.105575065868014
Parkinson's disease,atrial flutter,FH1262,HC440,0.1054399595323
Parkinson's disease,indometacin,FH1262,MED1140909936,0.105384517526275
Parkinson's disease,anxiety/panic attacks,FH1262,HC135,0.105214580594637
Parkinson's disease,cerazette 75micrograms tablet,FH1262,MED1141182800,0.105090781063853
Parkinson's disease,gall bladder disease,FH1262,HC8,0.105074859083287
Parkinson's disease,thyroxine sodium,FH1262,MED1140874852,0.104955256972076
Parkinson's disease,post-natal depression,FH1262,HC344,0.104832440262133
Parkinson's disease,Number of stillbirths,FH1262,INI3829,0.104701322104975
parkinsons disease,Sleep duration,HC206,INI1160,0.104414442658237
parkinsons disease,fludrocortisone,HC206,MED1140884672,0.104368675358458
Parkinson's disease,Weighted-mean L1 in tract forceps major,FH1262,INI25579,0.104229179099658
Parkinson's disease,Weighted-mean ISOVF in tract superior thalamic radiation (right),FH1262,INI25728,0.104200076961145
Parkinson's disease,starflower oil,FH1262,MED1140911680,0.103812630969941
parkinsons disease,Weighted-mean ICVF in tract medial lemniscus (left),HC206,INI25667,0.103516334249787
Parkinson's disease,fracture vertebra/crush fracture/vertebral collapse,FH1262,HC14,0.10325505488572
Parkinson's disease,aspirin,FH1262,MED1140868226,0.103076125398035
Parkinson's disease,Weighted-mean ISOVF in tract parahippocampal part of cingulum (right),FH1262,INI25711,0.103052346132692
parkinsons disease,Mean FA in fornix on FA skeleton,HC206,INI25061,0.103042550967865
Parkinson's disease,atrial fibrillation,FH1262,HC281,0.102753463577947
parkinsons disease,Weighted-mean MO in tract medial lemniscus (left),HC206,INI25559,0.102670502410022
Parkinson's disease,deep relief ibuprofen gel,FH1262,MED1140911750,0.102577203575283
parkinsons disease,lisinopril,HC206,MED1140860696,0.102481589064784
parkinsons disease,Potassium in urine,HC206,INI30520,0.102470419567391
parkinsons disease,Mean ISOVF in superior corona radiata on FA skeleton (left),HC206,INI25465,0.102451046190053
Parkinson's disease,duloxetine,FH1262,MED1141200564,0.102375074191487
parkinsons disease,Mood swings,HC206,BIN1920,0.102226943766974
parkinsons disease,90th percentile of BOLD effect (in group-defined mask) for faces activation,HC206,INI25763,0.102170334467193
Parkinson's disease,large bowel cancer/colorectal cancer,FH1262,cancer1020,0.10214635453471
Parkinson's disease,nuvelle tablet,FH1262,MED1140868518,0.101858729707813
Parkinson's disease,eye infection,FH1262,HC181,0.101809167685642
Parkinson's disease,ibandronic acid,FH1262,MED1141180314,0.101606730870166
Parkinson's disease,Mean ICVF in cingulum hippocampus on FA skeleton (left),FH1262,INI25381,0.101451000770727
parkinsons disease,urinary frequency/incontinence,HC206,HC140,0.101320582530607
Parkinson's disease,vulval cancer,FH1262,cancer1043,0.101220818390929
Parkinson's disease,Volume of grey matter in Lingual Gyrus (right),FH1262,INI25853,0.100986068064798
Parkinson's disease,trifluoperazine,FH1262,MED1140868120,0.100981150105471
Parkinson's disease,celebrex 200mg capsule,FH1262,MED1141176670,0.100903434620568
Parkinson's disease,nitrofurantoin,FH1262,MED1140874126,0.10079560885527
parkinsons disease,pentasa sr 250mg m/r tablet,HC206,MED1140865588,0.10074420087501
Parkinson's disease,sotalol,FH1262,MED1140879854,0.100461312318714
parkinsons disease,Weighted-mean MD in tract uncinate fasciculus (right),HC206,INI25541,0.100360451554428
Parkinson's disease,Volume of ventricular cerebrospinal fluid,FH1262,INI25004,0.100355449525419
Parkinson's disease,magnesium citrate,FH1262,MED1140865872,0.100227831353395
parkinsons disease,prednisone,HC206,MED1140868364,0.100215755712627
parkinsons disease,Volume of grey matter in Vermis VI Cerebellum,HC206,INI25898,0.100133385641047
Parkinson's disease,Volume of accumbens (right),FH1262,INI25024,0.0999964523824894
Parkinson's disease,stomach disorder,FH1262,HC98,0.0999809048495146
Parkinson's disease,neoclarityn 5mg tablet,FH1262,MED1141172928,0.0999136641194715
Parkinson's disease,"Volume of grey matter in Parahippocampal Gyrus, anterior division (right)",FH1262,INI25849,0.099880899839051
Parkinson's disease,olanzapine,FH1262,MED1140928916,0.0998801092715839
Parkinson's disease,evening primrose oil product,FH1262,MED1197,0.0998775494120698
Parkinson's disease,Average heart rate,FH1262,INI22426,0.0998722963839795
parkinsons disease,Ever attempted suicide,HC206,BIN20483,0.099849058697813
Parkinson's disease,Age other serious eye condition diagnosed,FH1262,INI5945,0.0997013832821215
parkinsons disease,malignant melanoma,HC206,cancer1059,0.0996916544634395
parkinsons disease,varicose veins,HC206,HC401,0.099562036811757
Parkinson's disease,aqueous cream bp,FH1262,MED1140876404,0.0991584712851561
parkinsons disease,salbutamol,HC206,MED1140881856,0.0991266474108762
Parkinson's disease,Weighted-mean L1 in tract uncinate fasciculus (left),FH1262,INI25594,0.0989987328130258
parkinsons disease,Mean FA in cerebral peduncle on FA skeleton (left),HC206,INI25071,0.098946398442588
parkinsons disease,Doctor diagnosed emphysema,HC206,BIN22128,0.0989224173891127
Parkinson's disease,haemorrhoids/piles,FH1262,HC61,0.0986279613578134
Parkinson's disease,renal/kidney failure,FH1262,HC294,0.0984047456412138
Parkinson's disease,L1-L4 average height,FH1262,INI23201,0.0982676251711517
parkinsons disease,Mean ISOVF in external capsule on FA skeleton (left),HC206,INI25473,0.0982608694532331
parkinsons disease,Severe depression,HC206,FH1286,0.0982096744020693
Parkinson's disease,Average weekly champagne plus white wine intake,FH1262,INI1578,0.0980523492524054
Parkinson's disease,Attempted suicide vs all,FH1262,BIN1020483,0.0979311835477937
parkinsons disease,Mean ICVF in anterior limb of internal capsule on FA skeleton (right),HC206,INI25360,0.0977417762839073
parkinsons disease,evista 60mg tablet,HC206,MED1141168578,0.0975858393730723
Parkinson's disease,kelp+garlic product,FH1262,MED1140911638,0.0973888683838288
parkinsons disease,VAT (visceral adipose tissue) mass,HC206,INI23288,0.0971803880012742
Parkinson's disease,Nervous feelings,FH1262,BIN1970,0.0970781751804778
Parkinson's disease,oil of peppermint,FH1262,MED1140910698,0.0970204976230272
Parkinson's disease,Weighted-mean OD in tract medial lemniscus (left),FH1262,INI25694,0.0969987354918198
parkinsons disease,Mean ISOVF in cerebral peduncle on FA skeleton (right),HC206,INI25454,0.0967201640924865
Parkinson's disease,"Diastolic blood pressure, automated reading",FH1262,INI4079,0.0966940644912411
Parkinson's disease,hypertension,FH1262,HC215,0.0966118573072906
Parkinson's disease,Mean FA in cerebral peduncle on FA skeleton (right),FH1262,INI25070,0.0965281577744934
parkinsons disease,climagest 1mg tablet,HC206,MED1140864196,0.0964458446055271
parkinsons disease,Volume of grey matter in V Cerebellum (right),HC206,INI25896,0.0964277049220039
Parkinson's disease,qvar 50 inhaler,FH1262,MED1141167594,0.0963343773070537
Parkinson's disease,ovestin 0.1% vaginal cream,FH1262,MED1140869036,0.095764747960428
Parkinson's disease,trigemminal neuralgia,FH1262,HC390,0.0957349687018838
parkinsons disease,Arm BMC (bone mineral content) (right),HC206,INI23222,0.0955777539049437
parkinsons disease,Weighted-mean L3 in tract forceps major,HC206,INI25633,0.095426232644381
parkinsons disease,pyelonephritis,HC206,HC112,0.0954117490528566
parkinsons disease,otomize ear spray,HC206,MED1140882728,0.0953210810307398
Parkinson's disease,Weighted-mean MD in tract forceps major,FH1262,INI25525,0.0952709660673668
Parkinson's disease,aplastic anaemia,FH1262,HC48,0.095102445238853
Parkinson's disease,"Forced expiratory volume in 1-second (FEV1), predicted",FH1262,INI20153,0.0950235289822239
parkinsons disease,Weighted-mean L1 in tract middle cerebellar peduncle,HC206,INI25585,0.0949673066693694
parkinsons disease,mitral regurgitation/incompetence,HC206,HC394,0.0949052693930657
parkinsons disease,Weight,HC206,INI21002,0.0942061527819585
Parkinson's disease,menophase tablet,FH1262,MED1140912212,0.0937533551681453
parkinsons disease,progesterone product,HC206,MED1140868588,0.0936108014630645
parkinsons disease,Arm BMC (bone mineral content) (left),HC206,INI23220,0.0931383672242739
Parkinson's disease,Femur upper neck BMD (bone mineral density) T-score (left),FH1262,INI23296,0.09305044179848
Parkinson's disease,cervical polyps,FH1262,HC168,0.0929620575127253
parkinsons disease,90th percentile of BOLD effect (in group-defined mask) for shapes activation,HC206,INI25761,0.0929460441341094
Parkinson's disease,ginkgo forte tablet,FH1262,MED1140911734,0.0929149691605305
Parkinson's disease,rosuvastatin,FH1262,MED1141192410,0.0927704163213932
Parkinson's disease,imipramine,FH1262,MED1140879630,0.0927217800692702
Parkinson's disease,Femur upper neck BMD (bone mineral density) (left),FH1262,INI23292,0.0927008566433087
Parkinson's disease,gynaecological disorder (not cancer),FH1262,HC172,0.0924980025157035
Parkinson's disease,minerals - magnesium,FH1262,MED1141145812,0.0923268502140273
parkinsons disease,Number of cigarettes previously smoked daily,HC206,INI2887,0.0922992821232767
Parkinson's disease,breast disease (not cancer),FH1262,HC247,0.0920311055601718
Parkinson's disease,ezetrol 10mg tablet,FH1262,MED1141192740,0.0918999488389179
Parkinson's disease,Maximum carotid IMT (intima-medial thickness) at 150 degrees,FH1262,INI22675,0.0918938315937872
parkinsons disease,VAT (visceral adipose tissue) volume,HC206,INI23289,0.0918699539590133
Parkinson's disease,Weighted-mean L1 in tract posterior thalamic radiation (right),FH1262,INI25589,0.0918280948374283
parkinsons disease,Mean ICVF in body of corpus callosum on FA skeleton,HC206,INI25347,0.0916827684811538
parkinsons disease,Weighted-mean ICVF in tract parahippocampal part of cingulum (right),HC206,INI25657,0.0913548949850009
Parkinson's disease,captopril,FH1262,MED1140860750,0.091161852497407
Parkinson's disease,pulmicort ls 50micrograms inhaler,FH1262,MED1140862574,0.0910439015842984
Parkinson's disease,Reported occurrences of cancer,FH1262,INI40009,0.0909208270574004
parkinsons disease,gastro-oesophageal reflux (gord)/gastric reflux,HC206,HC164,0.090736500726469
Parkinson's disease,Mother's age at death,FH1262,INI3526,0.0906688067789137
Parkinson's disease,persantin 25mg tablet,FH1262,MED1140861780,0.0906407244420947
parkinsons disease,cialis 10mg tablet,HC206,MED1141187814,0.0905993405483545
parkinsons disease,Weighted-mean L2 in tract posterior thalamic radiation (right),HC206,INI25616,0.0904459512125809
parkinsons disease,dutasteride,HC206,MED1141192000,0.0902871796592365
Parkinson's disease,amoxicillin,FH1262,MED1141180226,0.0901035259301316
parkinsons disease,Weighted-mean FA in tract cingulate gyrus part of cingulum (right),HC206,INI25493,0.0899241907906239
Parkinson's disease,naprosyn 250mg tablet,FH1262,MED1140871472,0.0899060489980077
Parkinson's disease,Weighted-mean OD in tract corticospinal tract (left),FH1262,INI25685,0.0897761699496686
parkinsons disease,male genital tract cancer,HC206,cancer1038,0.0897317729609661
Parkinson's disease,Platelet count,FH1262,INI30080,0.0895555108028525
parkinsons disease,Sum of road length of major roads within 100m,HC206,INI24015,0.0895424638514779
Parkinson's disease,LV ejection fraction,FH1262,INI22420,0.0895331692065102
Parkinson's disease,Mean ICVF in external capsule on FA skeleton (right),FH1262,INI25376,0.0895254063842187
Parkinson's disease,fybogel mebeverine sachet,FH1262,MED1140865350,0.0894996512885498
parkinsons disease,Weighted-mean L3 in tract uncinate fasciculus (right),HC206,INI25649,0.0893201871035626
Parkinson's disease,proctosedyl ointment,FH1262,MED1140881446,0.0891984532151513
Parkinson's disease,Mean FA in posterior limb of internal capsule on FA skeleton (right),FH1262,INI25074,0.0891795868363111
Parkinson's disease,osteomyelitis,FH1262,HC104,0.0886356515046689
Parkinson's disease,subarachnoid haemorrhage,FH1262,HC255,0.0884405283881669
Parkinson's disease,Weighted-mean L1 in tract parahippocampal part of cingulum (right),FH1262,INI25576,0.0884327960799183
parkinsons disease,Volume of grey matter in VI Cerebellum (right),HC206,INI25899,0.0883711579845878
parkinsons disease,Mean ICVF in anterior limb of internal capsule on FA skeleton (left),HC206,INI25361,0.0883378633752366
parkinsons disease,movelat gel,HC206,MED1140875632,0.0881973275011672
parkinsons disease,tenofovir,HC206,MED1141179764,0.0880495127678217
Parkinson's disease,mercilon tablet,FH1262,MED1140869164,0.087674157698171
Parkinson's disease,breast cancer,FH1262,cancer1002,0.0873453977762184
Parkinson's disease,clarityn 10mg tablet,FH1262,MED1140862776,0.0873271146057798
Parkinson's disease,codeine,FH1262,MED1140884444,0.0872929488035415
parkinsons disease,amitriptyline hydrochloride+perphenazine 10mg/2mg tablet,HC206,MED1140867948,0.087142528566515
parkinsons disease,Mean ICVF in medial lemniscus on FA skeleton (left),HC206,INI25353,0.0871411486223169
parkinsons disease,Weighted-mean OD in tract middle cerebellar peduncle,HC206,INI25693,0.0868809951337049
parkinsons disease,Weighted-mean ISOVF in tract superior thalamic radiation (right),HC206,INI25728,0.0866540359715172
Parkinson's disease,Weighted-mean FA in tract superior thalamic radiation (right),FH1262,INI25512,0.0865460791595913
Parkinson's disease,mesalazine,FH1262,MED1140865578,0.0863763639935025
parkinsons disease,Weighted-mean MD in tract parahippocampal part of cingulum (left),HC206,INI25521,0.086201506577379
Parkinson's disease,pituitary adenoma/tumour,FH1262,HC63,0.0861999697670003
parkinsons disease,Cardiac output,HC206,INI22424,0.0859149342359064
parkinsons disease,minocycline,HC206,MED1140873480,0.0858603351042902
Parkinson's disease,Weighted-mean ICVF in tract medial lemniscus (left),FH1262,INI25667,0.0858057637744357
Parkinson's disease,Weighted-mean MO in tract uncinate fasciculus (left),FH1262,INI25567,0.0857451878519311
Parkinson's disease,Average weekly beer plus cider intake,FH1262,INI1588,0.0856861979302178
Parkinson's disease,microgynon 30 tablet,FH1262,MED1140869180,0.0854899193356111
Parkinson's disease,Guilty feelings,FH1262,BIN2030,0.0854850435695034
parkinsons disease,trospium,HC206,MED1141171496,0.0852424700622453
Parkinson's disease,Weighted-mean ISOVF in tract superior thalamic radiation (left),FH1262,INI25727,0.0852124897645735
parkinsons disease,Volume of grey matter in Vermis VIIb Cerebellum,HC206,INI25907,0.0851122830557448
Parkinson's disease,Weighted-mean L2 in tract corticospinal tract (right),FH1262,INI25605,0.0849247181698941
Parkinson's disease,nabumetone,FH1262,MED1140875336,0.0848591837798808
Parkinson's disease,Pelvis bone area,FH1262,INI23307,0.0846924572805302
parkinsons disease,zumenon 1mg tablet,HC206,MED1140928878,0.0846427464991974
Parkinson's disease,"Volume of grey matter in Cingulate Gyrus, anterior division (right)",FH1262,INI25839,0.0845714003915939
Parkinson's disease,betamethasone,FH1262,MED1140874790,0.0844457365876753
Parkinson's disease,Weighted-mean ICVF in tract uncinate fasciculus (right),FH1262,INI25676,0.0843507087292136
parkinsons disease,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),HC206,INI25500,0.0838513843709968
parkinsons disease,Weighted-mean FA in tract anterior thalamic radiation (left),HC206,INI25490,0.0838236426001338
Parkinson's disease,Mean ICVF in external capsule on FA skeleton (left),FH1262,INI25377,0.0836910071951379
Parkinson's disease,Nucleated red blood cell percentage,FH1262,INI30230,0.0835773454403826
parkinsons disease,Weighted-mean L1 in tract superior thalamic radiation (right),HC206,INI25593,0.0834653043133375
Parkinson's disease,Weighted-mean L1 in tract superior longitudinal fasciculus (right),FH1262,INI25591,0.0833619821242362
Parkinson's disease,mycophenolate,FH1262,MED1140925978,0.0833028321714673
parkinsons disease,Weighted-mean OD in tract inferior longitudinal fasciculus (right),HC206,INI25692,0.0832941065502286
Parkinson's disease,essential hypertension,FH1262,HC273,0.083126886616325
parkinsons disease,chronic laryngitis,HC206,HC187,0.0830893551644355
Parkinson's disease,cosopt 2%/0.5% eye drops,FH1262,MED1141169520,0.0829657436449816
Parkinson's disease,chronic skin ulcers,FH1262,HC229,0.0829586619998734
Parkinson's disease,colpermin 0.2ml m/r gel e/c capsule,FH1262,MED1140865416,0.0829307067210263
parkinsons disease,unclassifiable,HC206,HC43,0.0827538342087427
Parkinson's disease,brain cancer/primary malignant brain tumour,FH1262,cancer1032,0.0825503399971489
parkinsons disease,oil of peppermint,HC206,MED1140910698,0.0824794019450359
Parkinson's disease,diazepam,FH1262,MED1140863152,0.0824543901865367
parkinsons disease,motor neurone disease,HC206,HC218,0.0823976987469433
parkinsons disease,gout,HC206,HC328,0.0820952368599917
parkinsons disease,Mean ISOVF in genu of corpus callosum on FA skeleton,HC206,INI25442,0.0819497157335338
Parkinson's disease,arterial embolism,FH1262,HC222,0.0817816489517449
Parkinson's disease,ispaghula husk,FH1262,MED1140865752,0.0817471065137159
Parkinson's disease,tramadol,FH1262,MED1140864992,0.0817100116391506
parkinsons disease,iritis,HC206,HC26,0.0816164765896477
Parkinson's disease,plavix 75mg tablet,FH1262,MED1141168322,0.0815030652872368
Parkinson's disease,Weighted-mean OD in tract corticospinal tract (right),FH1262,INI25686,0.0814918167396191
Parkinson's disease,multivitamins capsule,FH1262,MED1140909766,0.0814091623954208
Parkinson's disease,warfarin,FH1262,MED1140888266,0.0811684300458025
Parkinson's disease,3mm regularity index (right),FH1262,INI5160,0.0809565331850216
parkinsons disease,Childhood sunburn occasions,HC206,INI1737,0.0807704413081875
Parkinson's disease,Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),FH1262,INI25500,0.0806277467151331
Parkinson's disease,lipitor 10mg tablet,FH1262,MED1141146138,0.0805986684338532
parkinsons disease,loratadine product,HC206,MED1141157324,0.0805643034890144
parkinsons disease,Mean FA in inferior cerebellar peduncle on FA skeleton (left),HC206,INI25067,0.0804817592585917
